From,To,Operator,Distance,Duration,Bus Type,Departure,Arrival,Cost
Sattur,Chennai,PERINBA VILAS TRAVELS,539,00:09:00,"A/C, 35 Seat, 2+2 Semi Sleeper,  Air Suspension, Hi-Tech",9:30:00 PM,6:30:00 AM,1600
Sattur,Chennai,PERINBA VILAS TRAVELS,539,00:10:45,"Non A/C, 34 Seat, 2+1 Executive, Air Suspension, Hi-Tech",7:45:00 PM,6:30:00 AM,1240
Sattur,Chennai,KPN Travels,539,00:09:45,2+2 : 33 S.S NON A/C,7:45:00 PM,5:30:00 AM,1430
Sattur,Salem,Srs Travels (SRS Travels),304,00:05:45,"2+1, Sleeper, AC, Non-Video",9:45:00 PM,3:30:00 AM,2270
Sattur,Coimbatore,India Travel Service,295,00:06:40,2+2 Hitech Air Bus Non/AC,10:20:00 PM,5:00:00 AM,1770
Sattur,Hosur,Royal Travels,324,00:08:06,Royal,7:00:00 PM,3:06:00 AM,1310
Sattur,Bangalore,Srs Travels (SRS Travels),501,00:07:00,"2+1, Sleeper, AC, Non-Video",9:45:00 PM,4:45:00 AM,2140
Sattur,Bangalore,Royal Travels,501,00:12:32,Royal,7:00:00 PM,7:32:00 AM,880
Sattur,Bangalore,Srs Travels (SRS Travels),501,00:08:15,"2+1, Sleeper, Non-AC, Non-Video",8:45:00 PM,5:00:00 AM,1710
Shirva,Gandhinagar,Shree Sahjanand Travels,1388,01:11:30,Odinary,7:00:00 PM,6:30:00 AM,2060
Shirva,Ahmedabad,Shree Sahjanand Travels,1371,01:10:30,Odinary,7:00:00 PM,5:30:00 AM,2040
Perdoor,Bangalore,Sugama Tourists  Y (Sugama  Tourists),404,00:10:30,"2+1, Sleeper/Seater, Non-AC",7:30:00 PM,6:00:00 AM,940
Proddatur,Vijayawada,Diwakar Travels,365,00:07:30,Hi-Tech Non A/c Semi Sleeper,10:30:00 PM,6:00:00 AM,1610
Thalayolaparambu,Bangalore,Kallada Travels,573,00:14:20,SEMI SLEEPER,5:45:00 PM,8:05:00 AM,860
Khamgaon,Ahmednagar,akash BUS AMRAVATI,314,00:06:30,A/c,11:00:00 PM,5:30:00 AM,1890
Khamgaon,Ahmednagar,akash BUS AMRAVATI,314,00:05:30,Non A/c,9:45:00 PM,3:15:00 AM,2450
